block_name,cluster,label,rf_prediction,rf_confidence,final_prediction,solar_mean,wind_mean,pop_mean,dist_roads_mean,dist_trans_mean,dist_sub_mean,constraint_pct,district
Khallikote,0,SOLAR,SOLAR,0.7143246932173157,SOLAR,4.132854,4.635451,543.879,2.596406,12.586885,25.568425,57.8615,Ganjam
Khandapara,1,SOLAR,SOLAR,0.9945777070143518,SOLAR,4.072039,3.298759,270.4033,6.849012,40.122021,35.98091,65.9392,Nayagarh
Khaprakhol,3,SOLAR,SOLAR,0.9892705079183368,SOLAR,4.245925,3.712512,180.7145,3.800782,48.344619,82.167009,79.9116,Bolangir
Khariar,1,SOLAR,SOLAR,0.9878760035873948,SOLAR,4.212633,3.742165,322.3379,1.749258,21.410941,35.863748,54.7345,Nuapada
Khunta,1,SOLAR,SOLAR,0.9372810699356322,SOLAR,3.99064,3.558861,324.0601,3.119973,51.913893,63.413758,92.5431,Mayurbhanj
Khurda,0,HYBRID,HYBRID,0.9297307569573272,HYBRID,4.07492,4.781996,654.8874,1.512599,8.595452,22.054678,80.4251,Khurda
Kirmira,1,SOLAR,SOLAR,0.9693625043184908,SOLAR,4.274174,3.896929,212.8979,4.638753,5.540173,28.366906,98.0827,Jharsuguda
Kishorenagar,1,SOLAR,SOLAR,0.9938216494242488,SOLAR,4.176308,3.402101,134.5557,7.253646,12.62707,54.558578,76.4498,Anugul
Kodala(Beguniapada),1,SOLAR,SOLAR,0.981126547893648,SOLAR,4.098097,3.696279,482.112,2.763424,24.46599,61.160581,77.2069,Ganjam
Koira,3,SOLAR,SOLAR,0.9903708629548356,SOLAR,4.027091,3.340898,118.5796,9.093965,56.670928,44.500955,65.5739,Sundargarh
Kokasara,1,SOLAR,SOLAR,0.9901171977590236,SOLAR,4.231553,4.072409,225.6972,4.509446,51.951691,47.472176,80.8775,Kalahandi
Kolabira,1,SOLAR,SOLAR,0.9892054607569196,SOLAR,4.257134,3.697282,272.1054,2.116358,18.823436,31.491038,84.4341,Jharsuguda
Koliane,1,SOLAR,SOLAR,0.9401391777860576,SOLAR,3.917826,3.79534,389.6653,3.875526,9.728563,38.675389,96.0238,Mayurbhanj
Kolnara,1,SOLAR,SOLAR,0.9758287577124162,SOLAR,4.075666,3.362015,209.9659,1.4009,11.770761,43.634976,52.7061,Rayagada
Komana,3,SOLAR,SOLAR,0.9969157398791252,SOLAR,4.184194,4.185689,137.7947,5.749944,39.596059,83.868254,75.856,Nuapada
Koraput,1,SOLAR,SOLAR,0.8428606824254993,SOLAR,4.305153,4.712526,270.1797,2.08424,9.584288,26.111966,45.7242,Koraput
Korei,0,SOLAR,SOLAR,0.973781672710695,SOLAR,4.100597,4.229399,715.2765,2.363603,8.000241,19.676612,92.0536,Jajpur
Korkunda,1,SOLAR,SOLAR,0.9860112691823624,SOLAR,4.267972,3.259139,158.3962,1.803633,14.689903,37.920976,56.1133,Malkanagiri
Kosagumuda,1,SOLAR,SOLAR,0.9762433798897916,SOLAR,4.30734,4.441327,259.7138,3.389499,74.350273,50.004662,85.0939,Nawarangpur
Kotagarh,3,SOLAR,SOLAR,0.974092098491488,SOLAR,4.16996,3.536179,61.2442,4.782514,122.383165,95.044807,44.3374,Kandhamal
Kotpad,1,SOLAR,SOLAR,0.9907163741106914,SOLAR,4.349099,4.2399,330.3285,2.533588,48.924532,43.971343,85.8505,Koraput
Krishnaprasad,3,HYBRID,HYBRID,0.7490319225405123,HYBRID,4.071533,5.850775,208.013,10.864969,58.566472,38.997559,0.6604,Puri
Kuanrmunda,1,SOLAR,SOLAR,0.8533782963253386,SOLAR,4.048555,3.11604,1071.9948,3.804173,26.099242,34.507827,72.84230000000001,Sundargarh
Kuchinda,1,SOLAR,SOLAR,0.991838657026251,SOLAR,4.224751,3.426186,174.6191,5.104293,55.575923,54.05721,85.4169,Sambalpur
Kujang,0,HYBRID,HYBRID,0.986783024386479,HYBRID,3.904363,5.588343,913.4083,1.701461,23.782459,18.252847,60.781,Jagatsingpur
Kukudakhandi,0,SOLAR,SOLAR,0.8992076529635875,SOLAR,4.100555,4.261528,1065.7012,1.858412,18.1569,29.652003,60.8012,Ganjam
Kundura,1,SOLAR,SOLAR,0.9897151351483208,SOLAR,4.336969,4.3103,189.9278,1.73671,22.34131,44.357401,89.044,Koraput
